process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,0,0,0,1,450000,15,0.33,1.32,0.196875,0.984375,0.890625,0.55
0,1,0,0,0,0,3,2400,0.11,0.01077548,0.026306417,0.005397961,0.93,0.93,3
0,0,1,0,0,1,3,34280,1.714,0.1714,0.5142,0.0171,0.005,8.163302453,35.34
0,1,1,0,1,0,3,54183,2.7091,0.2709,0.8127,0.0271,19.86438298,12.90292348,71
0,1,0,0,1,0,3,920000,87.5,13.75,14.06,0.46,42.5,42,0.3
0,1,1,0,0,0,3,83064,61.692,0.1524,0.96,0.0408,30.45263474,19.78052961,275.22
0,0,0,0,0,1,3,90000,16.5,0.45,1.296,0.0444,32.99548693,21.43224098,35
1,0,0,1,0,0,3,96000,10.56,0.456,1.38,0.048,35.19518606,22.86105704,43
1,0,0,0,0,0,3,36000,12.54,0.0588,0.372,0.0132,13.19819477,8.572896392,16
0,0,0,1,0,1,3,95000,53.25,0.325,1.37,0.047,34.82856954,22.62292103,23
0,0,0,0,1,1,3,69000,24.45,0.0444,0.996,0.0336,25.29653998,0,250.2
0,1,0,0,0,1,3,96000,14.4,0.24,1.38,0.048,35.19518606,22.86105704,26
0,1,0,0,0,0,3,10800,6.432,0.036,0.162,0.0054,3.959458432,2.571868917,8
0,0,1,0,1,0,3,108000,12.6,0.18,1.56,0.054,39.59458432,25.71868917,15
0,0,1,0,0,1,2,76800,7.464,0.384,1.152,0.0384,16.07420809,4.583455067,452
0,0,0,0,1,0,3,51600,2.58,0.264,0.744,0.0252,1.8,1,20
0,0,1,0,0,0,3,396,0.0192,0.0024,0.0036,2.00E-04,0.145180142,0.09430186,3
1,0,0,1,0,0,3,180000,8.1,0.882,2.616,0.0888,65.99097386,42.86448196,60
1,1,0,0,1,0,3,9000,0.45,0.0384,0.108,0.0036,3.299548693,2.143224098,250.2
0,0,0,1,0,0,2,63840,2.88,0.132,0.576,0.0108,13.36168547,3.809997025,60.2
1,0,1,0,0,0,3,36000,1.8,0.18,0.516,0.018,8.4,5,15
1,0,0,0,0,0,3,36000,1.8,0.18,0.516,0.018,5,0,12
1,0,0,0,0,1,3,38400,1.92,0.192,0.552,0.0192,14.07807442,9.144422818,20
0,1,0,0,0,1,3,20700,0.584,0.024,0.024,0.046557412,0.12,0.06,89
1,0,0,1,0,0,3,11000,2.5,0.049387616,0.120571078,0.024740654,0.5,0.1,5.8
0,0,0,0,0,0,3,16000,6,0.032,0.032,0.035986406,5.865864343,3.810176174,1
0,0,1,0,1,0,3,9730,0.49,0.098,0.1,0.021884233,0.05,0.001,10.4
0,0,0,0,1,0,3,70000,0.58,0.047,0.1,0.157440525,6.2,2,6.24
0,1,0,1,0,0,3,27500,1.65,0.15,0.3,0.061851635,10.08195434,6.548740299,26.38
1,0,0,0,0,1,3,30000,1.5,0.24,0.35,0.067474511,10.99849564,7.144080326,50
0,1,0,1,1,1,2,17138,1.042,0.1597,0.22,0.0737,11,2.2,394.19
0,1,0,0,0,1,4,25000,1.25,0.012,0.175,0.011782607,2.1,1.5,22.8
1,1,0,0,0,0,2,20000,1.24,0.36,0.4,0.018321446,0.05,0.01,57.21
0,0,1,0,1,0,2,34000,1.7,0.27,0.34,0.031146458,4.1,3.2,61
1,0,0,1,0,0,3,69000,3.915,0.392,0.5,0.155191375,39.15,7.83,32.7
0,1,1,0,1,0,2,107775,6.47,0.54,1,0.098729692,0.1038,0.1038,55012.17
1,0,0,0,0,1,3,10000,0.375,0.0042,0.05,0.022491504,3.666165214,2.381360109,18.6
1,0,1,0,1,0,2,120000,12,0.6,0.85,0.109928675,25.11595014,7.161648543,795
0,1,0,0,0,0,3,30000,3,0.15,0.2,0.067474511,10.99849564,7.144080326,6.9
1,0,0,0,0,0,3,40000,2.3,0.08,0.27,0.089966014,14.66466086,9.525440435,71.5
0,1,0,0,1,0,3,79000,5.74,0.03,1.1,0.177682878,5.022,2,38.9
0,0,1,0,0,0,3,150000,15,0.75,1.2,0.337372554,54.99247822,35.72040163,8.3
0,0,0,0,0,0,3,1900,0.05,0.002,0.15,2.00E-04,0.065,0.048,3
0,0,1,0,1,0,3,4000,0.23,0.01,0.03,0.005,1.466466086,0.952544044,44.59
1,1,0,1,0,1,3,14400,0.256,0.016,0.1,0.003,0.278,0.13,5411.89
1,0,0,1,0,1,4,9000,0.45,0.05,0.15,0.005,1.730053091,1.140192098,8
0,0,1,0,0,0,3,2400,0.106,0.001,0.05,0.005397961,0.014,0.01,16
0,0,0,1,0,0,3,43000,2.15,0.215,0.645,0.0215,0.048,0.032,76.296
1,0,0,0,1,0,3,16250,0.406,0.045,0.135,0.005,1.755,1.446,13.7
0,1,0,0,0,0,3,11900,0.5758,0.0074,0.01,0.001,0.071,0.0479,5.95
1,0,0,1,0,0,3,3200,0.182,0.014367306,0.035075223,0.007197281,1.173172869,0.762035235,4
1,0,0,1,1,1,2,495000,25.2,3.32,3.32,0.24,18.8,13.5,1210
0,1,0,0,1,0,3,3500,0.28,0.018,0.018,0.007872026,1.283157825,0.833476038,120
1,0,1,1,0,1,3,1100,0.05,0.005,0.005,0.002474065,0.403278174,0.261949612,200
1,0,0,1,1,1,3,12000,0.4,0.04,0.04,0.006,4.399398257,2.857632131,120
0,1,1,0,1,1,2,3939,0.19,0.016,0.016,0.003608409,0.824431063,0.235081113,111.4
0,0,0,0,0,0,3,30200,1.178,0.018,0.018,0.014,11.07181895,7.191707528,5
0,0,0,0,0,0,3,9600,0.43,0.034,0.034,0.0042,3.519518606,2.286105704,5
0,1,1,0,0,1,2,28000,2.11,0.17,0.17,0.014,0.09,0.05,20
1,0,0,1,1,1,3,20000,0.72,0.07,0.07,0.01,7.332330429,4.762720218,250
0,1,0,0,1,0,3,4800,0.1,0.008,0.008,0.0024,1.759759303,1.143052852,6
0,0,0,0,0,1,3,35060,1.753,0.1753,0.1753,0.0175,1.8,1.76,204.54
0,0,0,1,0,0,3,23580,1.16,0.11,0.11,0.01,2.00E-04,0,41
1,0,0,0,1,0,3,37376,0.201,0.167810139,0.409678603,0.084064244,13.70265911,8.900571542,12.4
0,1,0,1,0,1,2,60000,3.64,0.32,0.32,0.03,12.55797507,3.580824271,120
0,0,1,0,0,0,2,114000,5.5,0.5,0.5,0.05,0.6,0.5,20
0,1,0,0,0,0,2,60000,2.5,0.24,0.24,0.03,12.55797507,3.580824271,1.4
0,1,1,0,1,0,3,49000,2.44,0.22,0.22,0.023,17.96420955,11.66866453,1.2
1,0,1,0,1,1,2,1.00E+05,5.6,0.4,0.4,0.05,20.92995845,5.968040452,264
0,1,0,0,0,1,3,2100,0.08,0.008,0.008,0.004723216,0.769894695,0.500085623,11
1,0,0,1,0,0,2,33000,1.32,0.07,0.07,0.015,0.8,0.66,35
0,1,1,0,1,0,3,24700,1.11,0.03,0.03,0.001,9.05542808,5.881959469,150
1,0,0,1,0,0,2,3733,0.18,0.017,0.017,0.003419698,0.781315349,0.22278695,2
1,0,1,0,1,1,3,3542,0.08,0.005,0.005,0.007966491,0.022,0.02,495
0,0,1,0,0,1,3,40250,2,0.2,0.2,0.021,14.75631499,9.584974438,79
1,0,0,1,0,1,3,7024,0.36,0.03,0.03,0.003,2.575114447,1.67266734,60
0,1,0,0,1,0,3,33870,1.65,0.115,0.115,0.015,2.6,2,14.1
0,1,0,1,0,1,2,82058,4.09,0.4,0.4,0.04,17.1747053,4.897254634,380
1,0,0,1,1,0,3,4600,0.36,0.02,0.02,0.002,1.686435999,1.09542565,145
0,0,0,1,0,1,3,36000,1.27,0.21,0.21,0.018,13.19819477,8.572896392,49
0,1,1,0,0,1,3,42000,2.03,0.19,0.19,0.02,0.92,0.8,20
0,0,0,1,0,1,3,6400,0.11,0.015,0.015,0.003,2.346345737,1.52407047,14
0,0,0,0,1,0,3,174800,5.902,0.42,0.42,0.08,6.5,6,16.8
0,1,1,0,0,1,3,55230,2.7,0.25,0.25,0.025,2.5,0.9,110
0,1,0,0,1,1,2,3.00E+05,15,1.5,1.5,0.15,62.78987534,17.90412136,150
1,0,0,1,0,1,1,96000,4.6,0.04,0.04,0.042,0.21,0.19,361
0,1,1,0,1,0,2,25000,1.12,0.1,0.1,0.01,5.232489612,1.492010113,668.86
0,1,0,0,1,0,3,9090,0.45,0.03,0.03,0.003,3.33254418,2.164656339,10
0,0,0,0,0,0,3,3600,0.16,0.014,0.014,0.008096941,1.319819477,0.857289639,3
1,0,1,0,0,1,2,50956,4.076,0.255,0.7,0.025,0,3.041074693,120
1,0,0,1,0,1,3,1.00E+05,5,0.8,2.4,0.055,42,8.4,166.56
0,1,0,0,0,0,3,60000,3,0.48,1.44,0.034,30,6,40.08
0,0,1,0,0,1,2,22000,1.5,0.24,0.72,0.015,11,2.2,300
0,1,0,1,1,0,3,40000,2,0.32,0.9,0.02,20,4,92.7
0,0,0,1,0,1,3,24000,1.2,0.2,0.6,0.012,12,5.715264261,204.09
1,1,0,0,1,0,2,72386,5,0.8,2.4,0.036,36,7.2,40
0,0,0,1,0,0,3,36486,1.82,0.3,0.9,0.018,18.2,3.64,47.08
0,1,0,0,1,1,2,44875,1.89,0.3,1.2,0.022,22.4,4.5,164.44
1,0,1,0,1,0,3,19600,2.25,0.36,1.02,0.0098,9.8,1.9,55
0,1,1,1,0,1,3,148257,7.4,1.18,3.2,0.074,74,14.8,1744.52
0,1,0,0,0,1,2,150000,6,0.96,2.6,0.075,75,15,456.22
1,1,0,0,0,0,3,43500,2.17,0.348,0.9,0.02,21.75,4.35,40
0,0,1,0,0,0,3,28800,1.25,0.2,0.6,0.0144,14.4,2.8,50
0,1,0,0,0,1,3,30000,1.45,0.232,0.69,0.015,15,3,72
0,1,0,1,1,0,3,5400,0.3,0.048,0.14,0.0027,2.7,0.54,187.6
0,1,0,1,0,1,3,54000,3,0.48,1.3,0.027,27,5.4,600
1,0,1,0,1,0,3,46000,2.3,0.368,1.02,0.023,16.86435999,10.9542565,24.5
1,1,1,0,1,0,3,101000,5.05,0.8,2.4,0.05,5,24.0517371,135.311
0,1,1,0,1,1,2,8.00E+05,40,6.4,18,0.4,150,30,205.43
1,0,0,0,1,0,2,160000,8,1.28,3.6,0.08,80,16,80
0,1,0,0,0,0,3,25000,1.25,0.2,0.6,0.0125,9.165413036,5.953400272,12
0,0,0,1,0,1,2,7.00E+05,35,5.6,16,0.35,114.2,22.8,240
0,0,0,0,1,1,3,22000,1.1,0.11,0.33,0.011,8.065563472,5.238992239,110
0,0,0,0,1,0,3,48000,1.25,0.005,0.015,0.024,17.59759303,11.43052852,1.45
0,1,0,0,0,0,2,1.00E+05,5,0.8,2.4,0.05,50,10,100.014
1,0,1,1,1,0,3,19680,0.984,0.029,0.087,0.0098,9.84,1.9,144.602
1,0,0,1,0,0,2,108000,4.5,0.72,2.16,0.054,54,10.8,754.78
0,0,1,1,1,0,2,7000,0.35,0.056,0.15,0.0035,3.5,0.7,20
0,0,1,0,0,1,3,13200,0.8,0.106,0.146,0.029688785,55,22.5,5.4
0,0,0,0,0,1,3,13900,0.9,0.111,0.167,0.03126319,1.85,1.23,7.5
0,0,1,0,0,0,3,24624,3.55,0.110556423,0.26990384,0.055383078,12,12,0.35
0,0,0,1,0,0,3,621,0.09,0.002788155,0.006806785,0.001396722,9,9,0.93
0,1,0,0,0,0,3,54308,7.85,0,0.595270376,0.122146858,26.15,26.15,20.51
0,0,0,0,1,1,3,1844,1.81,0,0.020212097,0.004147433,2.05,2.05,4.15
0,1,0,0,1,0,3,44160,70.47,0,0.484038075,0.09932248,0.01,0.01,7.87
