"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"792","0","0","1","0","0","0","3",3976,0.39,0.049,0.049,0.021769328,0.323020525,0.118940479,0.56
"400","0","0","1","0","1","0","3",9620,0.76,0.09,0.09,0,0.307903981,0.07665364,58.8
"775","1","1","0","0","0","0","3",14085,57.386,5.1867,5.1867,0.077117953,1.144301833,0.421347246,30.81
"214","0","1","0","0","0","0","3",35640,1.001,0.101,0.368,0.003,0.693,0.217,1
"868","0","1","0","0","0","0","4",17100,1.03,0.1,0.13,0.004,0.07,0.068,20
"474","0","0","0","0","1","0","3",11600,0.4185,0.065969059,0.09365601,0.012592528,0.371277149,0.092430584,1.47
"769","0","0","0","0","0","0","3",2118,0.1568,0.008,0.008,0.011596438,0.172071799,0.063359139,1.2
"574","0","0","0","0","0","0","3",50044,5.3793,0.125,0.61,0.008,0.5,0.2,3.623
"831","0","0","0","0","1","0","4",880,0.0184,0.001,0.0011,0.004818161,0.071493476,0.026324855,0.255
"696","1","0","0","0","0","0","3",9600,0.476,0.077,0.077,0.061669305,1.838837043,1.194533804,13.39
"893","0","0","1","1","0","0","4",4290,1.0853,0.0579,0.0579,0.041156439,0.689,0.0899,19.86
"173","0","1","0","0","0","0","2",10720,0.145,0.103,0.113,0.010593593,0.769322672,0.506763176,69.29
"258","0","1","0","1","0","0","3",20804,1.64,0.02,0.02,0.02,0,0,15
"705","1","0","0","0","1","0","3",20000,0.72,0.036,0.0396,0.12847772,3.830910506,2.488612092,38
"774","0","0","0","0","0","0","3",141022,7.7049,0.7378,0.7378,0.772121257,86.5,0.89,4.41
"765","0","1","1","0","0","0","3",5348,0.126,0.001,0.001,0.178,0.0316,0.0316,19.9
"693","0","1","0","1","0","0","3",24000,1.92,0.24,0.264,0.154173264,4.597092607,2.98633451,20.33
"187","1","0","1","0","0","1","2",178000,18.1784,1.169,1.235,0.0053,0.623,8.414537811,30
"894","0","1","0","1","0","0","4",1348,0.1078,0.0067,0.0103,0.01293214,0.440902324,0.267977858,3.5
"686","0","0","0","0","0","0","3",56100,40.275,1.301,3.037,0.360380004,53.519,0.246,2
"207","1","0","0","0","0","0","2",16006,2.8531,0.2323,0.2323,0.015817263,1.148673386,0.756646585,8.722
"682","0","0","1","0","0","0","3",712,0.0355,0.0014,0.0015,0.004573807,0.136380414,0.08859459,0.65
"802","0","0","0","0","0","0","4",1080,0.0152,9e-04,0.001,0.005913198,0.0648,0.0605,0.2
"266","0","1","0","0","0","0","3",4930,0.39,0.04,0.04,0.004871867,0.353802311,0.233054334,10
"75","0","1","0","1","0","0","2",22745,1.8,0.22,0.22,0.022476799,2.05,0.36,57.33
"483","1","1","0","1","0","0","3",1168,0.0286,2e-04,0.0061,0.0409,0.0169,0,69.78
"773","0","0","0","0","0","0","3",3460,0.3462,0.041051088,0.050491486,0.018944133,0.28109935,0.103504542,0.95
"560","1","0","1","0","0","0","3",56000,1.25,0.2,0.22,0,0,0,28.62
"835","0","0","0","0","0","1","4",7300,0.0976,0.086610676,0.10652828,0.039968836,0.593070883,0.218376634,4.84
"914","0","0","0","0","0","0","4",5629.274839,1.715624635,0.666030654,1.183476334,0.054004873,1.841216885,1.119080871,0.9
"31","0","0","1","0","1","0","2",43171,3.41,0.22,0.22,0,0,0,64.26
"478","0","0","0","0","1","0","3",41809.58695,2.685226166,0.237770614,0.33756199,0.045386929,1.33818485,0.33314522,6.89
"721","0","0","0","0","1","0","3",12000,1.044,0.216,0.2826,6e-04,2.298546303,1.493167255,8.3
"427","0","1","0","0","0","0","3",13228,1.05,0.1,0.1,0.014359824,0.423383977,0.105402739,13
"762","0","0","1","0","0","0","3",5400,0.1236,0.0024,0.0024,0.029565988,0.438709968,0.16153888,1
"547","0","1","0","0","1","0","3",84795.5,8.72,0.663,1.57,0.01,0.35,0.34,70
"486","0","0","0","1","0","0","3",41809.58695,2.685226166,0.237770614,0.33756199,0.045386929,1.33818485,0.33314522,7.76
"36","0","1","0","0","0","0","2",40000,1,0.08,0.08,0.001,2.870606986,1.890907373,26
"757","0","1","0","0","0","0","3",29237,2.19,0.38,0.47,0.187815154,5.600216523,3.637977586,4.8
"671","0","0","1","0","0","0","3",117383,8.7063,0.75,1.41,0.754055008,22.48418839,14.60603766,1.3
"910","0","1","0","0","1","0","4",4046.4,0.0838,0.0084,0.0084,0.038819444,1.323491962,0.804410686,1
"847","1","0","0","0","0","0","4",17188,0.769,0.073,0.101,0.01,0.043,0.029,27.207
"809","0","1","0","1","0","0","4",25494,2.01,0.2,0.2,0.139584315,2.071198504,0.762643002,50.5
"679","1","0","0","1","0","1","3",14400,0.1728,0.0012,0.0012,0.0043,6e-04,6e-04,51.98
"756","0","0","0","0","0","0","3",115146,6.4868,0.6,0.6,0.739684775,44.56,0.46,1.15
"780","0","0","0","0","0","0","3",17320.3096,3.150392885,0.205496401,0.252753807,0.094831865,1.407146754,0.518130262,1
"648","0","1","0","1","0","0","3",60606,8.6368,2.5974,2.5974,0.389326034,11.60880811,7.541241222,56
"827","0","0","1","0","0","1","4",8658,0.68,0.07,0.07,0,0,0,13
"65","0","0","1","0","0","0","2",4459,0.032,0.0216,0.0216,0.004406421,0.320000914,0.210788899,6
"218","1","0","0","0","0","0","3",19760,0.246,0.053,0.0583,0.019526997,1.418079851,0.934108242,8
"78","1","0","0","0","0","0","2",82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,8.959
"673","0","1","0","0","0","0","3",64444,5.4735,0.42,0.77,0.413980908,28.99,6.44,1.05
"489","0","1","0","1","1","0","3",70000,3.69,0.57,0.93,0.01,0.1,0.09,42.5
"583","0","0","1","0","0","0","3",6000,0.2028,0.0117,0.0128,0,0.036,0.024,20.11
"309","0","0","1","0","0","0","3",8494,0.265,0.021,0.0231,0.011,0.609573394,0.401534181,26
"220","1","0","0","0","0","0","3",11800,1,0.031,0.0341,0.011660858,0.5148,0.4614,6
"880","0","1","0","0","0","1","4",5100,0.25,0.03,0.05,4e-04,0.0272,0.0272,12.17
"453","0","0","0","0","0","1","3",28500,0.304,0.1237,0.3248,0.011,2.508,0,1.86
"852","0","0","1","0","1","0","4",8440,0.377,0.036,0.05,0.005,0.021,0.014,12.682
"821","0","0","0","0","1","0","4",1998,0.0652,3e-04,6e-04,3e-04,0.008,0.008,10
"808","0","0","0","0","0","0","4",5000,0.13,0.01,0.011,0.027375915,0.406212933,0.149573037,6
"396","0","0","0","0","0","0","3",95,0.0037,3e-04,3e-04,0.000103128,0.003040632,0.000756975,2
"745","0","0","0","0","0","0","3",5709,0.5712,0.1142,0.1142,0.036673965,1.093533404,0.710374322,6.5
"593","1","0","0","1","0","0","3",150000,5.9657,0.518,0.569,0,0.68,0.6,4.085
"733","0","0","0","0","1","0","3",132646,6.84,0.69,0.69,0.85210278,51.3,0.53,1.1
"143","0","1","0","0","0","1","2",29300,2.3,0.4326,0.4326,0.028954504,2.102719618,1.385089651,34.5
"261","0","0","0","0","0","0","3",27658,2.19,0.22,0.22,0.0013,1.984881201,1.307467903,1.6
"393","1","0","0","0","1","0","3",8707,0.5524,0.0522,0.0574,0.0609,0.278681909,0.069378715,15.4
"509","1","0","0","0","0","0","3",21737,0.972,0.092,0.128,0.013,0.054,0.037,33.172
"904","0","1","0","0","0","1","4",5629.274839,1.715624635,0.666030654,1.183476334,0.054004873,1.841216885,1.119080871,54.99
"67","1","0","1","0","0","1","2",59337,2.39,0.12,0.12,0.058637318,0.9,0.3,69.263
"137","0","0","1","0","0","1","2",60000,4.5,0.25,1.3,0.1,2.12,0.12,42.23
"17","0","1","0","0","0","0","2",73872,4.5,0.158,0.1738,0.073000926,1.3338,0.8208,39.33
"594","1","1","0","1","0","0","3",52107,3.1774,0.36,0.89,0.019,0.521,0.417,7.453
"676","0","0","1","0","0","0","3",23270,0.9,0.4,0.4,0.149483827,1.8,1.8,45.12
"250","0","0","0","0","0","0","3",3100,0.093,0.0085,0.0085,0.0016,0.222472041,0.146545321,0.3
"892","0","0","1","0","0","0","4",2800,0.5068,0.0378,0.0378,1e-04,0.0062,0.0062,9.54
"672","0","0","0","0","0","0","3",26153,1.57,0.17,0.31,0.16800389,11.77,3.254233602,6.705
"604","0","1","0","0","0","0","3",2000,0.0602,0.0366,0.04,0,0.1432,0.0716,12.964
"402","1","0","0","0","0","0","3",23690,1.87,0.18,0.18,0.012,0.042,0.042,26.91
"226","0","0","0","0","0","1","3",7855,2.6179,2e-04,2e-04,0.007762376,0.1833,0.371326935,5
"608","0","1","0","0","1","0","3",12800,1.82,0.04,0.04,0.003,0.4821,0.028,24
"116","0","0","1","0","1","0","2",6272,0.89,0.035,0.035,0.004,1.1273,1.0474,2.35
"575","0","1","1","1","0","0","3",60745,7.1241,0.15,0.874,0.01,0.6,0.24,4.394
"851","0","0","1","0","0","0","4",3631,0.162,0.015,0.021,0.002,0.009,0.006,5.411
"314","0","0","0","0","0","1","3",6500,0.26,0.028,0.0308,0.006423354,0.466473635,0.307272448,8
"675","0","0","0","1","0","0","3",23806,1.43,0.15,0.29,0.15292703,10.172,2.38,1.58
"578","0","1","0","1","0","0","3",332000,34.9087,1.143,1.257,0,201.56,1.2819,50.37
"823","1","0","0","1","0","0","4",10708,0.2325,0.0176,0.0194,7e-04,0.869945618,0.320325616,28
"463","0","0","0","0","0","0","3",673,0.0168,1e-04,0.001,0.0185,0.0047,0.0023,6.18
"820","0","1","0","0","1","0","4",116139,9.18,1.04,1.04,0.635882278,0.032,0.032,44
"424","0","0","0","0","0","1","3",22728,1.8,0.17,0.17,0.02467267,0.011,0.011,2
"562","0","0","0","0","0","1","3",45673,2.4116,0.3197,0.7855,0.137,0.4567,0.365,1.3
"435","0","0","0","1","0","0","3",34960,3.11,0.3,0.3,0.037951273,0.005,0.278566658,11.52
"9","0","0","0","1","0","0","1",14170,0.2279,0.0228,0.0228,0.014002912,1.016912525,0.669853937,9.35
"665","0","1","0","0","0","0","3",20000,4.0804,0.32,0.32,0.12847772,11,11,8
"711","0","0","0","1","0","0","3",75900,55.188,1.761,4.108,0.487572946,0.019,3e-04,1
"366","1","0","0","0","0","0","3",11000,1,0.02,0.022,0.02,0.266,0.001,30
"790","0","0","0","1","0","0","3",5280,0.399,0.015,0.0165,0.028908966,0.428960858,0.157949127,1.96
"653","1","0","1","0","0","0","3",73140,10.6773,1.0605,1.0605,0.469843021,14.00963972,9.10085442,31.85
"752","0","0","0","0","0","0","3",3325,12.2401,0.364,0.364,0.021359421,0.636888872,0.41373176,3.215
"537","0","1","0","1","0","0","3",39225,4.445,0.25,0.38,0.009,1.255460878,0.312550834,62.7
"104","1","0","0","1","1","0","2",280000,25.1667,0.8032,0.883,0,3.7485,0.918,68.048
"647","0","0","0","0","0","0","3",7871,0.391,0.066,0.0819,0.050562407,0.067,0.051,2.3
