process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1.006427176,-0.020191969,-0.00522125,0.996396504,0.018375731,1.002967654,3.008316457,154682.5504,16.46327866,1.983214962,2.263290527,0.108885783,27.14491816,5.13689241,523.9177543
0.995367719,0.995481674,1.016219649,-0.004437961,1.007215712,0.014797704,3.00316655,18922.55858,4.386803069,0.029288349,0.260620598,0.004443855,0.857216549,0.028933738,477.8649374
0.993678172,1.013028341,0.996298702,1.011904902,0.008117666,0.004895636,1.99910588,50207.69646,4.111997217,0.133608328,0.494030009,0.011954155,10.10317413,2.759315243,757.2650904
1.008818781,1.014752347,-0.012308032,0.99460646,0.995787535,-0.019272615,2.999623055,98042.63539,4.917288285,0.216622665,1.366589469,0.007821017,0.90785351,0.382960178,1336.708426
1,1,1,1,0,1,3,87290.76434,9.182314022,0.349189476,5.804839572,0.004718777,3.869396892,0.792754485,11776.24762
1,1,1,0,0,1,3,31691.55865,1.951549365,0.335139154,0.96717359,0.014734509,1.950878536,0.024209876,694.3011865
1.013908466,1.008365388,0.019220339,-5.20E-05,0.998560406,-0.005124198,3.010238921,55602.85926,4.571322522,0.687992143,0.848020155,0.287324312,4.557795644,0.292366041,557.5510492
1,1,1,0,0,1,3,82240.90582,6.113407953,0.669378996,1.770875385,0.158143117,32.40351044,7.414778611,506.1266986
1,1,1,0,0,0,3,77065.91378,11.05325633,0.056065281,0.160168029,0.003348552,0.026193115,0.026193115,699.0189822
0.997632841,0.983561733,-0.026641811,-0.005764726,1.0137491,1.008427147,3.00867215,77310.16639,6.139483235,0.341207422,0.380483403,0.083012871,30.61995898,2.936084273,728.4166472
0.992474579,0.000455414,-0.006323698,0.009177742,0.010413896,0.011394089,2.995960353,61538.34847,4.914877505,0.012625794,-0.010039939,0.005973453,28.69075127,15.05223257,488.8919765
1,1,1,1,0,0,3,47637.99936,3.168403817,0.387359906,0.61369516,0.137615564,5.1594672,6.070657365,622.796865
1,1,1,0,0,0,3,89294.4214,7.392365528,0.421853653,0.766856087,0.084126966,12.90284389,2.627401071,516.6449385
1,1,0,1,0,0,3,237939.5664,19.73812486,0.98920757,1.002698108,0.251620328,5.93096019,5.908264344,791.4091458
0.99618819,1.010149823,0.993930973,0.005535653,0.001348537,-0.01243627,2.002670362,24728.96453,12.28176946,0.014318356,0.644025533,0.130066322,13.38682432,13.18248365,1138.213597
1,1,1,0,0,1,3,26624.52681,1.630685372,0.144638472,0.235691495,0.005842753,10.70663862,0.233352264,528.7857897
1.0099368,0.018770889,0.000795046,0.013007975,0.995069644,0.991150376,2.990251278,24260.46719,4.9703036,0.002252858,0.295643653,-0.007719417,4.089334101,5.228033997,531.8076379
1.002321544,0.018476282,1.003643683,0.014014142,1.012929908,-0.004094038,3.005442456,96301.27139,4.172367089,0.219852634,1.35530955,0.012884359,0.835540513,0.297556767,1407.239025
1,1,1,0,0,0,3,25769.28741,6.133881789,0.083672295,0.246914511,0.01255409,1.681631624,0.362713449,713.6571035
1.01675982,0.00242606,0.000237395,0.000179754,0.002118952,1.002121584,3.005215527,15216.60416,0.961618612,0.066192379,0.257979883,0.01926987,1.689421589,1.768344409,780.535156
1,1,1,0,0,0,3,24548.07189,5.70866505,0.181593304,0.341561057,0.019070305,0.070251399,0.070251399,709.3286714
0.989348056,0.993347923,-0.004415006,1.005459665,0.006977395,1.004971365,1.994920457,53747.11281,2.444008668,0.477189217,0.648958258,0.009594342,4.542675022,2.100939192,1044.262991
0.012333734,1.008821935,-0.012304834,1.007047025,0.998967343,0.017923604,2.998262473,60898.45142,12.48218085,0.418347398,1.267618169,0.212151126,17.3474571,3.548514752,748.6534215
0.993780241,0.975774992,0.004965685,0.004243155,0.012378186,0.01474747,2.998978972,85317.52412,9.800646795,1.145281813,1.573248985,0.068477845,27.31186481,1.596776588,1790.27956
0.005100279,0.997552761,0.016430192,0.004345957,0.988715313,0.997218367,3.00368199,109349.8101,6.793876687,0.892652135,2.204909987,0.107540776,102.9916987,25.93321852,452.7520005
0,1,0,1,1,1,3,36232.25139,3.686091041,0.10175893,0.388104683,0.014388009,3.643585041,3.643585041,656.8501539
1.00900115,-0.002148617,-0.001931697,0.981407526,-0.003458804,0.000412574,2.999041257,1842.786415,1.323249238,0.042861278,0.006087526,-0.001792136,0.764273967,0.454745318,494.7632198
1.00516167,1.012452861,0.991471343,0.00288665,1.012614417,-0.009062733,1.99841008,62197.14263,3.768027653,0.623048137,1.881828672,0.195377958,2.887288038,1.081714219,882.8952442
1,1,0,1,0,0,3,87008.05944,2.570552071,0.501288358,0.682269899,0.062597397,5.450613809,0.330429457,828.5243828
1.002510561,0.999041282,0.005400389,0.99402157,0.980870051,1.01160737,2.998353485,90919.24837,3.641562342,0.200666123,0.923438228,0.032068247,0.42268705,0.340677486,1051.745041
1,1,0,1,0,1,3,134928.9421,10.71822908,1.254507239,2.075486322,0.151654666,14.49859211,11.47110367,1782.530325
1.002237378,1.005486707,-0.016990164,0.007791443,0.00011275,-0.001822469,3.007900618,4479.65059,-0.527183226,0.023412857,-0.018534639,0.004027843,0.377307711,0.055114289,1930.14054
-0.006176404,0.007916826,0.011700371,0.000555482,-0.011151971,-0.016407118,3.002171487,60962.89688,3.429362124,0.058588791,0.107290775,0.03911289,12.0646223,11.67397071,923.2700608
1.008282666,0.999527163,1.003408031,1.001952047,1.002933004,0.003142571,3.003044194,18633.67205,1.240306721,0.004721302,0.011189206,0.077079941,1.569228025,0.264897512,1984.129898
1,1,0,1,0,1,3,98601.09108,9.476359981,1.282522958,1.738277034,0.144699487,5.502688226,11.67032083,1186.227545
0.995369573,-0.005769203,0.997946021,1.004873666,-0.001941428,1.001917346,3.006923312,99221.19715,4.948977534,0.261124524,1.350319196,0.00738596,0.536527439,0.265923987,1333.245584
0,1,1,0,0,1,3,41957.11621,3.165096019,0.193412449,0.193412449,0.118608506,0.007007476,1.096591727,487.0274497
0.997959326,1.003183429,0.996449329,0.007669032,1.006348863,1.009949137,2.997570727,78451.16485,7.390752971,0.526136428,1.561523404,1.021319274,8.32102508,8.154985475,636.0453683
1,0,1,0,0,1,3,140957.6746,7.641537572,0.550728807,2.328277353,0.024958647,3.061811715,2.154912017,1729.005402
1,0,1,0,0,1,3,139762.2079,9.25480451,1.103594922,3.358836341,0.074999763,8.502633015,6.632951281,926.6167834
-0.004221733,0.00524266,-0.019275585,0.002520202,0.990807613,-8.56E-05,3.004846497,186455.3299,6.290063222,0.289808804,0.577885604,0.069449088,9.100876321,0.835001044,2472.641816
1.010173594,-0.001872201,0.987628205,-0.003580511,0.994826188,1.003297905,2.993338799,52958.3781,4.348900511,0.704197294,0.948719673,0.055030975,0.273679194,0.160844997,738.2629017
1,1,0,1,0,0,3,121259.2452,9.06076322,1.042759056,2.663657875,0.090867601,12.25766516,2.133362669,1356.787807
1,1,1,0,0,1,3,97311.23538,7.112739438,0.831499141,2.138340982,0.155977543,37.75814906,8.909131433,516.116696
1.011721939,-0.017875909,0.993347229,0.008738088,1.003237217,0.0012242,2.995569469,1160513.388,231.8838394,9.202473183,9.181772867,0.005214661,2.021232021,0.532251864,11870.11078
