process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,1,0,0,1,3,11957,0.38,0.035,0.127,0.058881844,2.405210797,0.673823203,300.48
1,1,0,1,0,1,3,154154,4.9,0.453,1.63,0.759126188,6.17,0.462,4252.24
1,0,1,0,0,1,3,28255,1.64,0.048,0.373,0.139140797,5.683635617,1.592278548,54.78
0,0,1,0,0,0,3,13580,0.83,0.1,0.179,0.066874253,2.731685425,0.765285531,15.32
1,1,0,0,1,0,3,58888,4.42,0.689,0.777,0.289991975,5.3,0.265,559.58
0,1,0,0,1,0,3,9940,0.611,0.119,0.132,0.048949196,0.298,0.159,140.16
1,0,1,0,0,0,3,27990,0.89,0.082,0.297,0.137835814,3.36,0.14,362.05
1,0,1,0,0,1,3,17640,0.168,0.102,0.173,0.086867587,3.548374882,0.994082236,43.04
1,1,0,1,0,0,3,110178,3.5,0.32,1.17,0.542567855,1.65,0.22,2739
1,0,1,0,0,1,3,70200,2.18,0.21,0.744,0.345697539,14.12108371,3.956041552,130.1
0,0,0,1,0,0,3,13846,0.612,0.024,0.076,0.068184161,0.803,0.305,20.24
0,1,0,1,0,0,3,38536,8.0598,0.0771,0.4275,0.0098,0.0771,0.0771,295.78
0,1,0,0,0,1,3,27220,1.1221,0.0544,0.302,0.0069,0.1225,0.1225,124.73
0,1,1,0,1,0,3,26000,1.1486,0.052,0.4479,0.0165,0.403,0.403,318.26
0,0,0,0,1,0,3,1043.2,0.2612,0.0021,0.0116,3.00E-04,0.0449,0.0449,18.43
1,1,1,0,1,0,3,20000,4.4065,0.04,0.2219,0.0051,0.095,0.095,510.98
0,0,1,0,0,0,3,20486.4,1.6404,0.0645,0.288,0.0102,0.0922,0.0922,145.54
0,0,0,0,0,0,3,7627.2,0.447,0.0763,0.0763,0.0038,0.0153,0.0153,35.14
0,0,0,0,0,0,3,2240,0.0961,0.0045,0.0386,0.0014,0.0045,0.0045,2
1,1,1,0,0,0,3,17600,5.9136,0.0554,0.1953,0.0045,0.0352,0.0352,737.81
1,1,0,0,1,1,3,74800,5.984,0.374,0.374,0.076005257,32.29,3.028,672
0,1,1,0,0,1,3,36300,4.62,0.231,0.231,0.036884904,0.0064,0.0018,485
1,0,0,1,0,1,3,16000,1.28,0.08,0.08,0.016257809,2.686197184,1.893743073,16.4
1,1,0,1,0,0,3,66708,3,1.02,1.02,0.06778287,0.0012,7.895488309,380.5
0,0,0,1,0,0,3,20250,2.033,0,0,0,0.0096,0.0096,24.98
1,0,0,0,0,1,3,11160,2.325,0,0,0,3.939,3.939,32.976
1,0,0,0,0,0,3,27000,10.18,0,0,0,12.8,12.8,9.9
0,0,1,0,0,0,3,28000,2.8,0,0.918,0,0.0133,0.0133,223.54
0,0,0,0,0,1,3,29186.76,1.7512,0.2334,0.5837,0,0.116,0.116,347.801
0,0,0,1,0,1,3,950,0.057,0.0076,0.019,9.00E-04,0,0,3.4
0,0,0,0,0,0,3,4800,0.48,0.0012,0.0042,0.038,0,0,4.41
1,1,0,0,1,0,3,38000,5.48,0.39,1.37,0.01,15.9,15.9,372.285
0,1,0,0,1,1,3,25500,6.4,0,0,0,0,0,54.25
1,0,0,0,0,1,3,93550,19.71,0,1.07,0,7.24,7.24,1847.715
0,1,1,0,0,1,3,63750,15.95,0,0.57,0,0,0,82.27
0,1,0,1,0,0,3,25500,6.38,0,0.53,0.59,2.55,0,45.31
0,1,0,1,0,0,3,68000,17,0,0.86,0,0,0,118.9
1,1,1,1,0,1,3,119000,19.96,0,1.02,0,0,0,1813.4
