industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HW17,HWsum
2614,5,0,0,0,0,0,1,0,0,0,1,0,46113.1,7.91516129,133070.9,0,0,3077.335,0,0,0,0,0,0,0,76.3547
2614,5,0,0,0,0,0,1,0,0,0,1,0,47873.76,7.911,153488.33,0,0,1242.547,0,0,0,0,0,0,0,66.8649
2614,5,0,0,0,0,0,1,0,0,0,1,0,52175.5,7.911612903,157306.21,0,0,2848.732,0,0,0,0,0,0,0,48.7172
2614,5,0,0,0,0,0,1,0,0,0,1,0,48138.41,7.943225806,142105.62,0,0,2670.229,0,0,0,0,0,0,0,68.5607
2614,5,0,0,0,0,0,1,0,0,0,1,0,45003.04,7.588,128261.69,0,0,2772.3,0,0,0,0,0,0,0,58.4309
2614,5,0,0,0,0,0,1,0,0,0,1,0,38596.8019,7.791935484,123923.5113,0,0,1238.2106,0,0,0,0,0,0,0,70.6132
2614,5,0,0,0,0,0,1,0,0,0,1,0,39207.0072,7.878666667,118872.3575,0,0,1578.523,0,0,0,0,0,0,0,60.6981
2614,5,0,0,0,0,0,1,0,0,0,1,0,41954.7859,7.999677419,122969.7247,0,0,1562.5446,0,0,0,0,0,0,0,40.6954
2614,2,0,0,0,0,1,0,1,0,0,0,0,24002.32,7.815806452,31756.2264,0,0,0,0,0,0,0,0,0,0,42.1372
2614,2,0,0,0,0,1,0,1,0,0,0,0,13951.21,7.785172414,27219.0176,0,0,0,0,0,0,0,0,0,0,63.39
2614,2,0,0,0,0,1,0,1,0,0,0,0,15397.0036,7.683548387,24038.2072,0,0,0,0,0,0,0,0,0,0,73.5762
2614,2,0,0,0,0,1,0,1,0,0,0,0,11811.94,7.906666667,25289.17,0,0,0,0,0,0,0,0,0,0,34.2762
2614,2,0,0,0,0,1,0,1,0,0,0,0,19836,7.892258065,33401.5,0,0,0,0,0,0,0,0,0,0,61.9
2614,2,0,0,0,0,1,0,1,0,0,0,0,25091.78,7.906,36829.03,0,0,0,0,0,0,0,0,0,0,22.5714
2614,2,0,0,0,0,1,0,1,0,0,0,0,12356.31,7.942258065,21916.35,0,0,0,0,0,0,0,0,0,0,55.5502
2614,2,0,0,0,0,1,0,1,0,0,0,0,24315.246,7.996129032,41713.755,0,0,0,0,0,0,0,0,0,0,73.1692
2614,2,0,0,0,0,1,0,1,0,0,0,0,26208.484,8.007857143,32691.517,0,0,0,0,0,0,0,0,0,0,160.8122
2614,2,0,0,0,0,1,0,1,0,0,0,0,26874.843,7.520645161,38222.68,0,0,0,0,0,0,0,0,0,0,36.8498
2614,2,0,0,0,0,1,0,1,0,0,0,0,8442.22,7.895517241,15831.669,0,0,0,0,0,0,0,0,0,0,37.5406
2614,2,0,0,0,0,1,0,1,0,0,0,0,10065.77,7.938387097,33118.238,0,0,0,0,0,0,0,0,0,0,74.9212
2614,2,0,0,0,0,1,0,1,0,0,0,0,5818.001,7.637096774,36663.112,0,0,0,0,0,0,0,0,0,0,90.1916
2614,2,0,0,0,0,1,0,1,0,0,0,0,3113.908,7.523225806,22602.954,0,0,0,0,0,0,0,0,0,0,64.6932
2614,2,0,0,0,0,1,0,1,0,0,0,0,2978.766,7.695,26990.17,0,0,0,0,0,0,0,0,0,0,63.2738
2614,2,0,0,0,0,1,0,1,0,0,0,0,4224.074,7.231290323,29849.68,0,0,0,0,0,0,0,0,0,0,164.039
2614,2,0,0,0,0,1,0,1,0,0,0,0,2162.1223,7.255862069,14866.9004,0,0,0,0,0,0,0,0,0,0,117.311
2614,2,0,0,0,0,1,0,1,0,0,0,0,2289.4904,7.444234613,17648.0718,0,0,0,0,0,0,0,0,0,0,59.452
2614,2,0,0,0,0,1,0,1,0,0,0,0,3145.751,7.199224581,26570.827,0,0,0,0,0,0,0,0,0,0,123.955
2614,2,0,0,0,0,1,0,1,0,0,0,0,3935.611,7.134472036,24110.927,0,0,0,0,0,0,0,0,0,0,87.449
2614,2,0,0,0,0,1,0,1,0,0,0,0,4205.328,6.925681,25966.877,0,0,0,0,0,0,0,0,0,0,109.922
2614,2,0,0,0,0,1,0,1,0,0,0,0,3043.712,6.955,25612.813,0,0,0,0,0,0,0,0,0,0,62.577
2614,2,0,0,0,0,1,0,1,0,0,0,0,2807.192,6.930322581,24263.63,0,0,0,0,0,0,0,0,0,0,95.505
2614,2,0,0,0,0,1,0,1,0,0,0,0,2275.397,6.947333333,23813.682,0,0,0,0,0,0,0,0,0,0,70.194
2614,2,0,0,0,0,1,0,1,0,0,0,0,4163.456,6.910645161,26145.343,0,0,0,0,0,0,0,0,0,0,80.666
2614,2,0,0,0,0,1,0,1,0,0,0,0,2958.606,6.971290323,25881.013,0,0,0,0,0,0,0,0,0,0,36.868
2614,2,0,0,0,0,1,0,1,0,0,0,0,1813.31,6.729333333,21828.865,0,0,0,0,0,0,0,0,0,0,67.023
2614,2,0,0,0,0,1,0,1,0,0,0,0,3136.438,7.056129032,21643.914,0,0,0,0,0,0,0,0,0,0,72.67
2614,2,0,0,0,0,1,0,1,0,0,0,0,2021.8317,7.053103448,17889.683,0,0,0,0,0,0,0,0,0,0,124.209
2614,2,0,0,0,0,1,0,1,0,0,0,0,2826.705,7.033225806,26125.936,0,0,0,0,0,0,0,0,0,0,54.419
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3.435,0,0,0,0,0,0,0,0,0,0,4.68
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,11.137,0,0,0,0,0,0,0,0,0,0,1.89
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,9.511,0,0,0,0,0,0,0,0,0,0,141.828
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6.968,0,0,0,0,0,0,0,0,0,0,116.766
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,13.052,0,0,0,0,0,0,0,0,0,0,534.536
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,294.439
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,11.178,0,0,0,0,0,0,0,0,0,0,750.04
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,20.234,0,0,0,0,0,0,0,0,0,0,756.355
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,14.482,0,0,0,0,0,0,0,0,0,0,845.974
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,15.524,0,0,0,0,0,0,0,0,0,0,165.2225
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,17.652,0,0,0,0,0,0,0,0,0,0,355.829
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,152.635
2614,2,0,0,0,0,0,1,1,0,0,0,0,0,0,11.815,0,0,0,0,0,0,0,0,0,0,314.519
