sector,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,wastewater,P,NH3-N,N,CrVI,Cr,Ni,Fe,Cu,Zn,MHW,THW
3360,202206,2,1,0,1,1,0,0,0,0,0,0,1,58.30090906,7.400258065,2530.4549,0.183889531,1.171248299,10.19965169,0.009368561,0.043208304,0.040281064,1.846392225,0.095523565,0.291648364,33.076,33.539
3360,202207,2,1,0,1,1,0,0,0,0,0,0,1,68.1674603,7.400258065,2958.6963,0.215010066,1.369464442,11.9257892,0.010954049,0.05052066,0.047098027,2.158866315,0.11168949,0.341005459,42.804,43.71
3360,202208,2,1,0,1,1,0,0,0,0,0,0,1,90.09321137,7.400258065,3910.3474,0.284167067,1.809946401,15.76166462,0.014477368,0.066770398,0.062246892,2.853255767,0.147613902,0.450688302,29.28,33.509
3360,202209,2,1,0,1,1,0,0,0,0,0,0,1,79.31165017,7.400258065,3442.3915,0.250160458,1.593347974,13.87544757,0.012744844,0.058779906,0.054797733,2.511803273,0.129948772,0.3967539,36.97,41.127
3360,202210,2,1,0,1,1,0,0,0,0,0,0,1,66.30002851,7.400258065,2877.6435,0.209119915,1.331948281,11.59908497,0.010653965,0.049136658,0.045807788,2.099724672,0.108629782,0.331663694,43.453,46.669
3360,202211,2,1,0,1,1,0,0,0,0,0,0,1,71.37170127,7.400258065,3097.7711,0.225116707,1.433836711,12.48636608,0.011468948,0.052895405,0.04931189,2.26034476,0.116939503,0.357034569,28.049,32.709
3360,202212,2,1,0,1,1,0,0,0,0,0,0,1,59.7525596,7.400258065,2593.4614,0.188468247,1.200411535,10.45361565,0.009601831,0.04428416,0.041284033,1.892366058,0.097902032,0.298910198,19.553,20.302
3360,202003,1,0,1,0,0,0,0,0,0,0,0,0,5.915958951,7.479354839,256.772451,0.018659793,0.118849894,1.034987648,0.000950654,0.001561765,0.004087434,0.187358667,0.009693048,0.028629301,0.855,0.855
3360,202004,1,0,1,0,0,0,0,0,0,1,0,1,8.709874613,7.479354839,378.037757,0.027472209,0.174978847,1.523778767,0.001399618,0.002299336,0.006017797,0.275842093,0.01427076,0.042149992,1.11,1.11
3360,202005,1,0,1,0,0,0,0,0,0,1,0,1,7.256259776,7.479354839,314.946,0.022887297,0.145776147,1.269471154,0.001166032,0.001915593,0.00501347,0.22980605,0.011889074,0.035115465,2.55,2.55
3360,202006,1,0,1,0,0,0,0,0,0,1,0,1,10.07088107,7.479354839,437.11,0.031765021,0.20232107,1.761884692,0.001618322,0.00265863,0.006958139,0.318945224,0.016500711,0.048736357,4.35,4.35
3360,202007,1,0,1,0,0,0,0,0,0,1,0,1,14.5785974,7.479354839,632.76,0.045983013,0.29287978,2.550502522,0.002342682,0.00384863,0.010072594,0.461704788,0.023886413,0.070550702,2.78,2.78
3360,202008,1,0,1,0,0,0,0,0,0,1,0,1,9.627136548,7.479354839,417.85,0.030365386,0.193406372,1.68425229,0.001547016,0.002541485,0.006651548,0.304891817,0.015773655,0.046588929,5.58,5.58
3360,202009,1,0,1,0,0,0,0,0,0,1,0,1,9.503735942,7.479354839,412.494,0.029976163,0.19092729,1.662663549,0.001527186,0.002508909,0.006566289,0.300983714,0.015571468,0.045991753,3.51,3.51
3360,202010,1,0,1,0,0,0,0,0,0,1,0,1,8.374021316,7.479354839,363.460598,0.026412879,0.168231652,1.465021765,0.001345648,0.002210673,0.00578575,0.265205605,0.013720478,0.040524686,6.835,6.835
3360,202011,1,0,1,0,0,0,0,0,0,1,0,1,8.834100248,7.479354839,383.429566,0.027864035,0.177474503,1.545511845,0.00141958,0.00233213,0.006103626,0.279776324,0.014474298,0.042751162,7.35,7.35
3360,202012,1,0,1,0,0,0,0,0,0,1,0,1,10.94658995,7.479354839,475.118701,0.034527134,0.219913807,1.915088573,0.001759043,0.00288981,0.00756318,0.346678961,0.017935523,0.052974205,8.066,8.066
3360,202107,1,0,1,0,0,0,0,0,0,1,0,1,34.13249942,7.479354839,1481.4649,0.107658858,0.685711981,5.971426708,0.005484861,0.046126,0.023582709,1.080977682,0.055924651,0.177625,3,3
3360,202108,1,0,1,0,0,0,0,0,0,0,0,0,23.43785372,7.41,1017.281424,0.073926393,0.470859661,4.100415383,0.003766304,0.00366,0.016193601,0.742277806,0.038401928,0.036738,0.82,0.82
3360,202111,1,0,1,0,0,0,0,0,0,1,0,1,30.49336937,8.166842105,1323.514456,0.096180514,0.612602918,5.33476667,0.004900078,0.00805,0.021068374,0.965726282,0.049962091,0.093699,4.02,4.02
3360,202112,1,0,1,0,0,0,0,0,0,1,0,1,35.26148026,7.92,1530.466453,0.111219828,0.708392878,6.168940117,0.005666281,0.13138,0.024362741,1.116732552,0.057774439,0.25545,1.1,1.1
3360,202201,1,0,1,0,0,0,0,0,0,0,0,0,1.322702668,7.47,57.40973,0.004171996,0.026572712,0.231404737,0.000212549,0.000051,0.000913877,0.041890049,0.002167192,0.006401,0.7,0.7
3360,202202,1,0,1,0,0,0,0,0,0,1,0,1,12.66857588,7.479354839,549.858663,0.039958527,0.254508003,2.216347283,0.002035754,0.0033444,0.008752929,0.401214327,0.020756924,0.06130747,1.75,1.75
