industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Cu,Ni,Fe,NH3N,HW17,HWsum
2669,202207,1,0,0,1,0,0,0,1,0,0,1,0,66.3,8.193548387,269.57,4.185898504,0.176947648,0.002643872,0.00655994,0,0.7,0,142.445
2669,202209,1,0,0,1,0,0,0,1,0,0,1,0,38.1,7.824137931,232.22,3.60592555,0.152430844,0.002277553,0.005651034,0,0.03,0,178.968
2669,202206,1,0,0,1,0,0,0,1,0,0,1,0,72.3,7.899666667,242.19,3.760740285,0.158975223,0.002375336,0.005893652,0,0.21,0,216.505
2669,202202,1,0,0,1,0,0,0,1,0,0,1,0,39.8,7.646098893,133.08,2.066473913,0.08735465,0.001305214,0.003238479,0,1.69,0,168.692
2669,202108,2,0,0,0,0,1,1,1,0,0,0,0,76.81197,8.208807806,1257.682,19.52935861,0.825551327,0.012335018,0.030605475,0,10.218987,0,414.846
2669,202112,2,0,0,0,0,1,1,1,0,0,0,0,42.274,7.654905903,623.426,9.680594875,0.409221219,0.0061144,0.015170964,0,3.148,0,429.19
2669,202107,2,0,0,0,0,1,1,1,0,0,0,0,46.297314,8.017425033,913.056,14.17798622,0.599336392,0.008955016,0.022219061,0,5.857441,0,458.36
2669,202207,2,0,0,0,0,1,1,1,0,0,0,0,32.405,7.129,1033.03,16.0409494,0.678088171,0.010131689,0.025138607,0,3.827,0,553.16
2669,202106,2,0,0,0,0,1,1,1,0,0,0,0,56.544872,7.699405567,965.229,14.98813157,0.633583117,0.009466715,0.023488682,0,6.401479,0,607.05
2669,202210,2,0,0,0,0,1,1,1,0,0,0,0,83.241,6.912580645,875.732,13.59841699,0.574836656,0.008588952,0.021310788,0,4.506,0,640.48
2669,202002,1,0,0,0,0,1,0,1,0,0,0,0,1.844,8.422896552,79.743,0.004,0.052343867,0.000782099,0.001940532,0,0.54,0,30.3
2669,202012,1,0,0,0,0,1,0,1,0,0,0,0,0.01,5.061428571,0.784,0.012594378,0.000514623,7.69E-06,1.91E-05,0,0.004,0,69.62
2669,202104,3,0,0,0,0,1,1,0,0,0,0,0,48.187859,8.595666667,1338.97,20.79160337,0.878909343,0.013132269,0.032583605,0,0.75,0,4.059
2669,202012,3,0,0,0,0,1,1,0,0,0,0,0,106.22,8.522,1248.33,19.38414022,0.819412608,0.012243296,0.030377896,0,24.56,0,9.57
2669,202001,3,0,0,0,0,1,1,0,0,0,0,0,214.17,7.987419355,4010.25,62.27139323,2.632356358,0.039331488,0.097588744,0,6.58,0,10.473
2669,202109,3,0,0,0,0,1,1,0,0,0,0,0,21.86,8.306447368,883.42,13.7177967,0.579883113,0.008664353,0.021497874,0,0.148834,0,14.943
2669,202203,3,0,0,0,0,1,1,0,0,0,0,0,71.57,7.729012097,385.15,5.980631408,0.252815174,0.003777451,0.009372559,0,10.99,0,17.052
2669,202005,3,0,0,0,0,1,1,0,0,0,0,0,54.53,7.984193548,1239.02,19.239574,0.813301459,0.012151986,0.030151339,0,4.19,0,23.062
2669,202011,2,0,0,0,0,1,0,0,0,0,0,0,66.34,7.576956522,1266.96,19.67342793,0.831641472,0.012426014,0.030831254,0,3.993002689,0,576.876
2669,202106,1,0,0,0,0,1,0,0,0,0,1,0,13.5,7.409666667,358.03,5.559510484,0.235013415,0.003511465,0.008712598,0,0.24,0,420
2669,202110,3,0,0,0,0,1,1,0,1,0,0,0,78.424,6.999032258,746.93,11.59837211,0.490290115,0.007325695,0.018176413,0,24.759,0,553.16
2669,202203,2,0,0,0,0,0,0,1,0,0,0,0,2.36,7.585443516,135.97,2.11135,0.089251666,0.001333558,0.003308807,0,1.59,0,0.08
2669,202109,2,0,0,0,0,0,0,1,0,0,0,0,2.15,7.443,186.68,2.898777804,0.122538067,0.001830909,0.004542826,0,0.08,0,0.17
2669,202107,2,0,0,0,0,1,1,0,0,1,0,0,40,8.716333333,249.87,3.879995768,0.164016429,0.00245066,0.006080543,0,0.787500459,0,56.873
2669,202202,2,0,0,0,0,1,1,0,0,1,0,0,534.2,8.716333333,2878.24,44.69347668,1.889297017,0.028229029,0.070041475,0,9.071178302,0,74.511
2669,202205,2,0,0,0,0,1,1,0,0,1,0,0,668.3,8.791612903,3021.38,46.91616285,1.983255122,0.029632909,0.073524763,0,9.52230415,0,86.216
2669,202209,2,0,0,0,0,1,1,0,0,1,0,0,762.6,8.659,3272.09,50.80920219,2.147822933,0.032091807,0.079625747,0,10.31245199,0,94.194
