industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Fe,Ni,HW17,HWsum
2614,2,0,0,0,0,0,0,1,0,1,1,0,158.335,7.564535843,1452.8,9.385857584,0.478249775,2.837152384,0,0,0,0.881
2614,2,0,0,0,0,0,0,1,0,1,1,0,72.1,7.564535843,448.01,2.894381922,0.147481196,0.874912334,0,0,0,1.5
2614,1,0,0,0,0,0,1,1,0,0,0,0,108.7743,8.051344097,768,4.961686829,0.252819265,1.499816238,0,0,0,0.24
2614,1,0,0,0,0,0,1,1,0,0,0,0,36.60022,7.825341607,725,4.683884051,0.238664019,1.415842152,0,0,0,3.471
2614,3,0,0,0,0,1,1,0,0,0,0,0,46.15,7.629620484,505.25,3.264182644,0.094,1.33,0,0,0,24.9665
2614,3,0,0,0,0,1,1,1,0,1,1,0,1414.86,8.035274194,13185.41,85.18473324,4.340528202,15.51,0,0,0,0.01
2614,3,0,0,0,0,1,1,1,0,1,1,0,854.95,6.918709677,12931.46,83.54408172,4.256929957,60.15,0,0,0,0.0139
2614,3,0,0,0,0,1,1,1,0,1,1,0,1129.58,7.247666667,11500.09,74.29667328,3.785734761,102.59,0,0,0,0.0183
2614,3,0,0,0,0,1,1,1,0,1,1,0,688.46,7.154666667,11864.38,76.65017966,3.905656024,48.7,0,0,0,0.0193
2614,3,0,0,0,0,1,1,1,0,1,1,0,537.56,6.621612903,8718.39,56.32541775,2.870022068,45.91,0,0,0,0.0205
2614,3,0,0,0,0,1,1,1,0,1,1,0,915.77,8.338275862,13321.34,86.06291305,4.385275237,27.88,0,0,0,0.0265
2614,3,0,0,0,0,1,1,1,0,1,1,0,689.58,8.095994613,10417.56,67.30295604,3.429374815,58.61,0,0,0,0.806
2614,3,0,0,0,0,1,1,1,0,1,1,0,790.25,7.797,9927.29,64.13555213,3.267981975,3.44,0,0,0,0.8816
2614,4,0,0,0,0,1,0,1,0,0,0,0,441.93,7.548064516,10744.83,69.4172936,3.537109399,60.15,0,0,0,219.0425
2614,4,0,0,0,0,1,0,1,0,0,0,0,2195.36,7.388351654,27241.92,175.9972339,8.967815338,253.43,0,0,0,326.472
2614,4,0,0,0,0,1,0,1,0,0,0,0,1309.43,7.536129032,31378.51,202.7217966,10.32954664,183.05,0,0,0,353.633
2614,4,0,0,0,0,1,0,1,0,0,0,0,502.51,7.184333333,10233.54,66.11408936,3.368796949,62.98,0,0,0,434.45
2614,4,0,0,0,0,1,0,1,0,0,0,0,364.092,7.534827586,6065.481,39.1862203,1.996706309,50.4,0,0,0,655.62
2614,4,0,0,0,0,1,0,1,0,0,0,0,1007.57,7.468333333,32400,209.3211631,10.66581272,104.12,0,0,0,394.9165
2614,3,0,0,0,0,1,1,1,0,1,1,1,1025.08,7.372580645,9826.44,63.48400771,3.3908,19.18991442,0,0,0,24.216
2614,3,0,0,0,0,1,1,1,0,1,1,1,1131.94775,7.39483871,16468.756,106.3968877,3.678961,32.16159853,0,0,0,24.654
2614,3,0,0,0,0,1,1,1,0,1,1,1,1001.346034,7.416451613,8921.57514,57.63810139,2.357254,17.42281675,0,0,0,34.704
2614,3,0,0,0,0,1,1,1,0,1,1,1,1819.01983,7.473548387,10282.01029,66.42723311,2.179548,20.07959114,0,0,0,37.035
2614,3,0,0,0,0,1,1,1,0,1,1,1,1160.301146,7.275248839,5769.39053,37.27331901,0.903413,11.26696042,0,0,0,51.012
2614,3,0,0,0,0,1,1,1,0,1,1,1,26510.05,7.677741935,116293.8,751.3195517,29.0939,227.1085021,0,0,0,107.466
2614,3,0,0,0,0,1,1,1,0,1,1,1,696.21,7.326666667,13830.42129,89.35184785,1.62022,27.00923233,0,0,0,230.454
2614,3,0,0,0,0,1,1,1,0,1,1,1,1414.15,7.632903226,23658.41,152.845861,3.90881,46.20217121,0,0,0,90.854
2614,1,0,0,0,0,1,0,0,0,0,0,0,0.113372,7.228666667,4.76379,0.030776607,0.0015682,0.064817914,0,0,0,5.551
2614,1,0,0,0,0,1,0,0,0,0,0,0,0.000253,8.381935484,0.01062,6.86E-05,3.50E-06,0.000145,0,0,0,6.528
2614,4,0,0,0,0,1,1,1,1,1,1,1,19.9,4.272333333,446.69,2.885854023,0.147046663,1.748,0,0,0,6.09
2614,4,0,0,0,0,1,1,1,1,1,1,1,350.36,7.258,4990.465,32.24104747,1.64281991,10.729,0,0,0,241.805
2614,4,0,0,0,0,1,1,1,1,1,1,1,745.416,7.44326087,10251.819,66.23218138,3.374814245,12.085,0,0,0,398.585
2614,2,0,0,0,0,0,1,0,1,0,0,0,56.979487,6.844354839,470.129753,3.037287244,0.154762836,0.918109684,0,0,0,0.452
2614,4,0,0,0,0,1,0,0,0,0,0,0,508.675105,8.352979143,5852,37.80701995,1.926430125,10.83929923,0,0,0,51.867
2614,4,0,0,0,0,1,0,0,0,0,0,0,1570.961365,7.87625,8263,53.38335712,2.720111436,15.30504605,0,0,0,63.594
2614,4,0,0,0,0,1,0,0,0,0,0,0,1320.35897,8.45,8595,55.52825299,2.829403098,15.91998921,0,0,0,65.572
2614,4,0,0,0,0,1,0,0,0,0,0,0,920.250345,8.73,7724,49.9011316,2.542677083,14.30668955,0,0,0,67.858
2614,4,0,0,0,0,1,0,0,0,0,0,0,512.348148,8.384798419,6811,44.00266796,2.242125014,12.61559587,0,0,0,82.829
2614,4,0,0,0,0,1,0,0,0,0,0,0,597.965113,8.033111067,8295,53.59009407,2.730645572,15.36431768,0,0,0,83.774
2614,4,0,0,0,0,1,0,0,0,0,0,0,934.465153,6.646842105,4967,32.08945114,1.635095426,6.397323,0,0,0,96.113
2614,5,0,0,0,0,1,1,1,1,1,1,1,50869.22,7.637241379,25068.26,6126.641,60.457,2906.572,0,0,0,369.316
2614,5,0,0,0,0,1,1,1,1,1,1,1,21920.96,7.447833333,133275.42,3356.502,259.026,825.08,0,0,0,1246.881
2614,4,0,0,0,0,0,1,1,0,0,1,0,7861.13,7.456666667,253931.9,1091.18,73.87,46.28,0,0,0,426.34
2614,4,0,0,0,0,0,1,1,0,0,1,0,10583.48,7.479032258,274907.32,1502.02,48.22,49.16,0,0,0,506.66
2614,4,0,0,0,0,0,1,1,0,0,1,0,17622.26,8.022666667,241123.441,762.233,243.762,85.64,0,0,0,982.8945
2614,4,0,0,0,0,0,1,1,0,0,1,0,15560.611,8.578666667,166299.976,681.269,12.693,40.657,0,0,0,412.062
2614,4,0,0,0,0,0,1,1,0,0,1,0,18149.771,7.936935484,311602.414,563.134,29.608,44.786,0,0,0,693.482
2614,5,0,0,0,0,1,1,1,0,1,0,1,117234.51,9.852,68876.31,591.5,18.021,29.377,0,0,0,1011.681
2614,5,0,0,0,0,1,1,1,0,1,0,1,367318.1,10.34931034,211951.61,7574.05,83.027,152.333,0,0,0,778.861
2614,5,0,0,0,0,1,1,1,0,1,0,1,724630.1,10.54580645,752578.61,7295.53,33.69,161.936,0,0,0,711.013
2614,2,0,0,0,0,1,0,1,0,0,0,0,24.5211,7.564535843,209.243,1.351820621,0.068881069,0.408627668,0,0,0,23.995
2614,2,0,0,0,0,1,0,1,0,0,0,0,45.572018,7.564535843,311.480111,2.012326516,0.102536683,0.608285063,0,0,0,66.853
2614,2,0,0,0,0,1,0,1,0,0,0,0,85.551,7.564535843,688.62,4.448849979,0.226688023,1.344796169,0,0,0,94.581
2614,2,0,0,0,0,1,0,1,0,0,0,0,211.920808,7.564535843,980.21171,6.332686889,0.322677609,1.914241458,0,0,0,132.171
2614,2,0,0,0,0,1,0,1,0,0,0,0,246.952,7.564535843,1417.26,9.156250358,0.466550301,2.767746825,0,0,0,133.85
2614,2,0,0,0,0,1,0,0,0,0,0,0,1.907,8.27483871,228.512,1.476308569,0.075224265,0.04,0,0,0,3.32
2614,2,0,0,0,0,1,0,0,0,0,0,0,2.49279,8.0965303,210,1.356711242,0.069130268,0.014195,0,0,0,3.67
2614,4,0,0,0,0,1,0,1,0,0,0,0,32.23,7.917193549,497.69,3.215341039,0.163835442,0.02,0,0,0,21.31
2614,4,0,0,0,0,1,0,1,0,0,0,0,555.387,7.952580645,6900.495,44.58085306,2.27158603,1.685,0,0,0,22.57
2614,4,0,0,0,0,1,0,1,0,0,0,0,388.752,7.597096774,6618.48,42.75888677,2.178749018,3.525,0,0,0,24.962
2614,4,0,0,0,0,1,0,1,0,0,0,0,364.55,6.581,5980.563,38.63760503,1.968752004,6.99,0,0,0,25.76
2614,4,0,0,0,0,1,0,1,0,0,0,0,373.669,7.447666667,5530.035,35.7269555,1.820441903,0.599,0,0,0,30.01
2614,4,0,0,0,0,1,0,1,0,0,0,0,326.664,8.142333333,8900.589,57.5025198,2.930000475,1.796,0,0,0,31.686
2614,4,0,0,0,0,1,0,1,0,0,0,0,666.101,7.517,13411.484,86.64529104,4.414949898,34.467,0,0,0,36.129
2614,4,0,0,0,0,1,0,1,0,0,0,0,34.56,7.917193549,560.5,3.621126911,0.184511976,0.18755577,0,0,0,38.29
2614,4,0,0,0,0,1,0,1,0,0,0,0,648.4,7.718387097,7496.497,48.4313417,2.467784972,15.5,0,0,0,40.71
2614,4,0,0,0,0,1,0,1,0,0,0,0,202.505,8.444193548,6069.543,39.21246297,1.998043486,2.158,0,0,0,42.542
2614,4,0,0,0,0,1,0,1,0,0,0,0,578.04,7.693548387,5197.29,33.57724653,1.710904994,9.97,0,0,0,53.34
2614,5,0,0,0,0,1,1,1,1,0,1,0,283.3608,7.849615385,10115,166.8515,3.329774559,0.333813,0,0,0,0.027
2614,5,0,0,0,0,1,1,1,1,0,1,0,1147.135084,8.182258065,30813,242.699574,10.14338542,1.548238,0,0,0,3.811
2614,5,0,0,0,0,1,1,1,1,0,1,0,920.394,7.847096774,46861,558.98496,15.42625463,1.323,0,0,0,7.217
2614,5,0,0,0,0,1,1,1,1,0,1,0,1135.51,7.846451613,65718,1203.18,21.63382347,2.86,0,0,0,20.9
2614,5,0,0,0,0,1,1,1,1,0,1,0,1426.79,8.294,77935,1314.27,25.65555909,4.07384,0,0,0,45.124
2614,5,0,0,0,0,1,1,1,1,0,1,0,2631.97,7.900967742,94547,893.237,31.12409246,3.38324,0,0,0,157.756
2614,5,0,0,0,0,1,1,1,1,0,1,0,1143.6554,7.714,63620,147.859,20.94317918,2.411232,0,0,0,158.505
2614,3,0,0,0,0,0,1,1,0,1,1,0,580.8,7.3713,13167.679,85.07018159,4.334691303,25.71497237,0,0,0,5.7932
2614,3,0,0,0,0,0,1,1,0,1,1,0,50.775,8.099566667,812.358,5.248263006,0.267421552,1.586442343,0,0,0,30.1
2614,3,0,0,0,0,0,1,1,0,1,1,0,33.637,7.538903226,767.179,4.956382734,0.252548998,1.498212919,0,0,0,44.719
2614,2,0,0,0,0,0,0,1,0,0,1,0,21.425,7.243666667,454.246,2.934669785,0.149534036,0.88709053,0,0,0,2.22
2614,2,0,0,0,0,0,0,1,0,0,1,0,305.374,6.749666667,5694.032,36.78646299,1.874428363,11.11979382,0,0,0,13.6
2614,2,0,0,0,0,0,0,1,0,0,1,0,439.714,7.361666667,11601.785,74.95367685,3.819211916,22.65696033,0,0,0,36.6
2614,3,0,0,0,0,0,1,1,0,1,1,0,961.0687,6.98516129,6207.31,40.10251077,2.043395246,2.9836,0,0,0,37.16
2614,3,0,0,0,0,0,1,1,0,1,1,0,1056.8418,7.279,5726.18,36.9941561,1.885011219,4.7622,0,0,0,40.77
2614,3,0,0,0,0,0,1,1,0,1,1,0,880.621,7.224666667,6816.06,44.03535824,2.243790724,6.3935,0,0,0,74.06
2614,1,0,0,0,0,1,0,1,0,1,0,0,18.219,7.541808677,292.773,1.891468669,0.096378456,4.067,0,0,0,11.92
2614,1,0,0,0,0,1,0,1,0,1,0,0,41.98,7.17425,295.805,1.911056995,0.097376566,5.874,0,0,0,14.16
