"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Cr","NH3N","HWsum"
"90","2","0","0","0","0","0","0","0","1","0","0","0",44.644,7.582258065,1279.213,22.59885899,0.288,0.035973755,0.001374243,5.402,853.465
"91","2","0","0","0","0","0","0","0","1","0","0","0",303.753,7.527741935,8602.772,151.9784675,1.025,0.241925322,0.009241855,19.026,934.584
"92","2","0","0","0","0","0","0","0","1","0","0","0",88.628,7.555806452,2035.519,35.9599276,0.586,0.057242432,0.002186734,3.624162879,982.797
"93","2","0","0","0","0","0","0","0","1","0","0","0",186.334,8.065483871,6602.264,116.637052,1.129,0.185667462,0.007092733,13.057,1052.518
"94","2","0","0","0","0","0","0","0","1","0","0","0",174.44,7.389032258,7797.912,137.7596333,0.993,0.21929122,0.008377203,4.32,1077.172
"95","3","0","0","0","0","0","0","0","1","0","0","0",1168.888,8.105357143,27269,481.7401683,13.6086,0.766853009,0.029294759,34.6532,1092.445
"96","3","0","0","0","0","0","0","0","1","0","0","0",903.999,7.633,28212,498.3994143,15.3621,0.793371854,0.030307813,11.5716,1177.167
"97","3","0","0","0","0","0","0","0","1","0","0","0",1153.565,7.357096774,28818,509.1051439,11.1581,0.810413657,0.030958831,38.9227,1199.648
"98","3","0","0","0","0","0","0","0","1","0","0","0",857.433,7.549,36450,643.9337392,13.6968,1.025039135,0.039157797,34.1463,1241.593
"99","3","0","0","0","0","0","0","0","1","0","0","0",997.596,8.159032258,33762,596.4469384,17.2537,0.949447772,0.036270111,68.8982,1242.328
"100","3","0","0","0","0","0","0","0","1","0","0","0",646.015,7.636129032,28512,503.6992805,6.1233,0.80180839,0.030630099,4.5211,1266.102
"101","3","0","0","0","0","0","0","0","1","0","0","0",713.293,7.608709677,32041,566.0433728,5.8587,0.901050176,0.034421261,4.4127,1300.502
"102","3","0","0","0","0","0","0","0","1","0","0","0",747.929,7.464516129,29994,529.8806193,9.2415,0.843484879,0.032222194,22.4702,1394.867
"103","3","0","0","0","0","0","0","0","1","0","0","0",536.421,7.728666667,27461,485.1320826,9.6151,0.772252392,0.029501022,5.2832,1409.958
"104","3","0","0","0","0","0","0","0","1","0","0","0",2023.444,7.12,16874,298.0998056,20.0509,0.474527033,0.018127535,22.9244,1748.64
"105","3","0","0","0","0","0","0","0","1","0","0","0",2086.97,7.038709677,17382,307.0742457,14.7423,0.488812901,0.018673274,21.0348,1775.5
"106","3","0","0","0","0","0","0","0","1","0","0","0",730.68028,7.483290323,28395,501.6323326,10.9878,0.798518141,0.030504407,37.656298,1925.29
"107","3","0","0","0","0","0","0","0","1","0","0","0",2884.0567,6.912,24119,426.0915736,15.0159,0.67826938,0.025910752,43.3862,1992.14
"108","3","0","0","0","0","0","0","0","1","0","0","0",1800.3208,7.160714286,16294,287.8533977,12.8952,0.458216397,0.017504448,20.7325,2017.38
"109","3","0","0","0","0","0","0","0","1","0","0","0",1001.587,7.219666667,29049,513.1860409,15.0945,0.81690979,0.031206992,49.3765,2466.984
"110","3","0","0","0","0","0","0","0","1","0","0","0",968.365,7.303733333,28740,507.7271787,8.1862,0.808220158,0.030875037,32.0595,2486.756
"111","5","0","1","1","0","0","0","0","0","1","1","0",143.9679,7.195333333,1441.622927,25.46802858,0.525990231,0.037351,0.001548718,20.01367,16.146
"112","5","0","1","1","0","0","0","0","0","1","1","0",155.977,7.029677419,1860.904915,32.87515666,0.678969367,0.055488,0.001,20.6588,18.169
"113","5","0","1","1","0","0","0","0","0","1","1","0",161.809,7.175333333,1899.32998,33.55398233,0.692989128,0.025406,0.001,16.33946,20.053
"114","5","0","1","1","0","0","0","0","0","1","1","0",180.3338,7.193225806,1502.515,26.54376138,0.5482073,0.053679,0.001614134,20.989015,21.8869
"115","5","0","1","1","0","0","0","0","0","1","1","0",167.1943,7.118064516,1861.962768,32.89384492,0.679355335,0.015475,0.003,8.917736,22.947
"116","5","0","1","1","0","0","0","0","0","1","1","0",143.112,7.186774194,1556.680469,27.5006605,0.567970101,0.034317,0.004,14.12178,24.435
"117","5","0","1","1","0","0","0","0","0","1","1","0",163.9741,7.070333333,1866.344218,32.97124859,0.68095395,0.053721,0.001,13.99685,26.559
"118","5","0","1","1","0","0","0","0","0","1","1","0",240.0099,7.179709821,1658.416,29.29794283,0.605089305,0.059101,0.001781616,20.728563,30.9243
"119","5","0","1","1","0","0","0","0","0","1","1","0",154.46288,7.132695652,1203.081,21.25389429,0.438955875,0.065082,0.001292455,18.578281,30.949
"120","5","0","1","1","0","0","0","0","0","1","1","0",242.21922,7.499340267,1835.3398,32.4235177,0.669641685,0.033555,0.001971683,17.485993,38.7885
"121","5","0","1","1","0","0","0","0","0","1","1","0",88.03695,7.14516129,1772.72017,31.3172655,0.6467943,0.048678,0.001904412,12.16005,53.665
"122","5","0","1","1","0","0","0","0","0","1","1","0",151.946,7.160247312,1422.043,25.12212528,0.518846303,0.1893,0.001527684,2.271,60.6
"123","5","0","1","1","0","0","0","0","0","1","1","0",91.596,7.080333333,1806.947,31.92192423,0.659282294,0.040895,0.014,15.5945,67.457
"124","5","0","1","1","0","0","0","0","0","1","1","0",236.351719,7.160247312,1859.381,32.84823484,0.678413352,0.158265,0.001997511,22.625069,84.616
