industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Cu,Cr,Zn,Fe,Ni,NH3N,HW17,HWsum
3340,202111,2,0,0,0,0,0,0,0,0,1,1,0,28.584891,7.443790067,0.008430319,1448,11.91173109,0.187738612,0.213472223,0.038571925,0.013831422,0,0.033225688,0.347392974,20.835,129.135
3340,202210,3,0,0,0,0,0,0,0,0,1,1,0,14.20157685,7.443790067,0.003079861,529,4.351730489,0.068586827,0.077988126,0.014091539,0.005053054,0,0.01213839,0.126913593,23.56,112.75
3340,202012,3,0,0,0,0,0,0,0,0,1,1,0,46.41687405,7.443790067,0.010066313,1729,14.22333084,0.224171312,0.254898807,0.046057223,0.016515558,0,0.03967349,0.414808323,28.65,239.95
3340,202111,3,0,0,0,0,0,0,0,0,1,1,0,37.50397516,7.443790067,0.008133395,1397,11.49218808,0.181126271,0.205953519,0.037213384,0.013344265,0,0.032055446,0.335157448,42.191,308.642
3340,202208,4,1,0,1,0,0,0,0,0,0,1,0,8.4548,7.443790067,0.000425009,73,0.600522355,0.009464723,0.010762066,0.001944579,0.000697302,0,0.001675052,0.017513596,131.903,382.906
3340,202011,3,0,0,0,0,0,0,0,0,1,1,0,518.74,7.277333333,0.152061469,26118.23,214.8572737,3.386326135,3.850494894,0.695739241,0.249483598,0,0.599306736,6.266083973,32.38,160.193
3340,202210,3,0,0,0,0,0,0,0,0,1,1,0,49.735,7.319677419,0.033057516,5677.992,46.70905653,0.736172884,0.837081196,0.151250749,0.054236672,0,0.130286733,1.362219977,29.75,169.64
3340,202207,2,0,0,1,0,0,0,0,0,0,1,0,52.8119327,6.910655914,0.011453194,1967.212,16.18294223,0.255056388,0.290017347,0.052402731,0.01879098,0,0.045139483,0.471958306,2.8,7.8
3340,202210,2,1,1,1,0,0,0,0,0,0,1,0,300.5569,7.979677419,0.038319295,6581.7605,54.14375773,0.5632,0.970319781,0.175325397,0.062869547,0,0.15102453,1.579045134,12.28,99.14
3340,202212,2,1,1,1,0,0,0,0,0,0,1,0,203.9177,8.088709677,0.046381311,7966.5003,65.53508931,1.261,1.174465832,0.212212193,0.076096702,0,0.182798654,1.911261209,0,104.96
3340,202209,2,1,1,1,0,0,0,0,0,0,1,0,435.2951,8.082666667,0.040359795,6932.2388,57.02690915,0.7167,1.021989243,0.184661463,0.066217346,0,0.159066576,1.66312918,0,114.68
3340,202201,2,0,1,0,0,0,0,0,0,0,0,0,166.9,7.007096774,0.035840499,6156,50.64130981,0.798148408,0.907551797,0.163983959,0.058802646,0,0.141255065,1.476899964,13.214,83.449
