industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HWsum
3360,3,0,1,1,0,0,0,0,0,1,1,0,73.997036,7.150645161,6358.524,29.16412944,0.060739,3.39772,0.020795858,0.020834,3.878567226,0.238115974,0.177266,0.720077182,137.131
3360,2,0,1,0,0,0,0,0,0,1,0,1,161.81,8.341428571,3604.06,16.53045146,0.260741244,1.675852152,0.011787252,0.21,2.198401547,0.134965954,0.054706711,2.131919337,2.9
3360,1,1,0,1,1,0,0,0,0,0,0,1,78.559,7.473833334,1331.87,6.10878076,0.096356176,0.538,0.004355945,0.003587577,0.812412964,0.083,0.003276421,0.150828902,14.488
3360,1,0,1,0,0,0,0,0,0,1,0,1,10.5101508,7.473833334,452,2.073151962,0.032700633,0.210175517,0.001478288,0.007563208,0.275710587,0.016926636,0.006860994,0.051187176,1.415
3360,2,0,1,0,0,0,0,0,0,1,0,1,3.354644814,7.387,144.27,0.661711579,0.010437434,0.067084119,0.000471842,0.002414035,0.088001696,0.005402668,0.002189902,0.016337995,2.5694
2614,2,0,0,0,0,0,0,0,0,0,0,0,39.703,7.1125,496.694,3.208906351,0.059,14.745,0,0,0,0,0,0,10.036
3360,1,1,0,1,1,0,0,0,0,0,0,1,18.39787946,7.685666667,791.22,3.62902499,0.057242024,0.367909452,0.016444312,0.013239295,0.482627723,0.029629851,0.012010078,0.089602472,13.8672
3360,2,0,1,0,0,0,0,0,0,1,0,1,38.98880014,7.691333333,290,1.330119622,0.020980494,0.201018633,0.000948459,0.004852501,0.176893961,0.030774998,0.004401965,0.03284133,3.174
2614,3,0,0,0,0,0,0,1,0,0,0,0,308.254,8.11,5193.727,19.664,3.927,1.599,0,0,0,0,0,0,0.4439
2669,2,0,0,0,0,1,0,0,0,0,1,0,94.34484,7.641,798,12.39139001,0.523812823,2.515009271,0,0,0,0.007826576,0.019419193,0,14.129
3360,2,0,1,1,0,0,0,0,0,1,1,0,96.343208,7.431290323,3569,16.36964458,0.101088,0.133924,0.011672586,0.001563,2.177015677,0.133653016,0.054174528,0.144342642,134.8
2614,3,0,0,0,0,0,1,0,0,0,0,0,2953.7904,7.612,8102.6614,98.49081003,2.184550164,40.789,0,0,0,0,0,0,43.91
2614,2,0,0,0,0,0,1,0,0,0,1,0,62.9928,7.564535843,314.5153,2.031935445,0.103535842,0.5036,0,0,0,0,0,0,3.345
3360,1,0,1,0,0,0,0,0,0,0,0,0,0.00154855,7.473833334,0.066597,0.000305455,4.82E-06,3.10E-05,2.18E-07,1.11E-06,4.06E-05,2.49E-06,1.01E-06,7.54E-06,0.449
2631,4,0,0,0,0,1,1,1,1,0,0,0,5759.215,6.830483871,33368.267,655.7371007,31.85587928,27.833,0,0,0,0,0,0,27.133
2614,2,0,0,0,0,0,1,1,0,0,0,0,0.561596127,7.564535843,6.968,0.045016971,0.002293808,0.013607708,0,0,0,0,0,0,116.766
