"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HWsum"
"615","4","0","1","1","0","0","0","0","0","0","1","0",108.94,7.896296296,0.01001048,1719.41,14.1444403,0.222927933,0.003170986,0.045801764,0.015207006,0.039453439,0.412507564,245.532
"36","4","0","1","1","0","0","0","0","0","0","1","0",61.21309159,7.443790067,0.013275132,2280.15,18.75727462,0.295629969,0.21,0.060738795,0.021780191,0.052320133,0.547035973,21.025
"313","2","1","0","0","1","0","0","0","0","0","1","0",4.54756236,7.443790067,0.000986219,169.3939,1.393490736,0.021962552,0.024972992,0.004512327,0.001618065,0.003886898,0.040639676,10.189
"244","2","1","0","1","0","0","0","0","0","0","1","0",0.4734,7.443790067,4.32e-05,7.4123,0.042,0.0025,9e-04,3e-04,0.0021,0.000170082,0.001778302,1.161
"122","3","1","0","1","0","0","0","0","0","0","1","0",46.05006531,7.443790067,0.009986764,1715.3366,14.11093115,0.222399801,0.252884473,0.045693257,0.016385044,0.039359971,0.411530306,109.76
"101","5","0","0","0","0","0","0","0","0","0","1","0",476.9377201,7.791483871,0.016127974,2770.157,22.78823568,0.359161208,0.408391969,0.073791636,0.02646078,0.063563792,0.664594667,129.864
"109","5","0","0","0","0","0","0","0","0","0","1","0",949.7046238,7.791483871,0.03211491,5516.089,45.37718843,0.715181555,0.813212554,0.146937965,0.052690161,0.12657172,1.32337746,184.465
"355","2","0","1","1","0","0","0","0","0","0","1","0",3.054171251,7.443790067,0.000662351,113.766,0.935877071,0.014750187,0.016772017,0.003030507,0.001086703,0.002610465,0.02729386,4.6
"245","2","1","0","1","0","0","0","0","0","0","1","0",3.353480453,7.443790067,1e-04,52.5074,0.164513357,0.01770955,0.009598168,0.0017,0.017230041,1e-04,0.01259717,2.5
"229","2","0","0","0","0","0","0","0","0","0","1","0",205.8,7.047666667,0.030734567,5279,43.42681522,0.68444208,0.778259574,0.140622372,0.050425466,0.121131496,1.266496899,145.94
"474","2","0","1","0","0","0","0","0","0","0","0","0",236.1,6.679666667,0.043129698,7408,60.94067951,0.960474887,1.092128608,0.197334823,0.070761859,0.169983353,1.777270132,93.193
"383","3","0","1","1","0","0","0","0","0","0","1","0",1.528078931,7.443790067,0.000331391,56.92,0.46824291,0.007379891,0.008391463,0.001516239,0.000543705,0.001306082,0.013655807,18.6775
"185","2","0","1","0","0","0","0","0","0","1","0","0",8.596107083,7.174886364,0.001864217,320.1997,2.63406956,0.041515088,0.047205623,0.008529502,0.003058575,0.007347276,0.076819838,47.48
"292","3","0","0","1","0","0","0","0","0","0","1","0",84.9691484,7.443790067,0.01842705,3165.0485,26.03674491,0.410360367,0.466609073,0.084310784,0.030232818,0.07262494,0.759333985,148.434
"543","1","0","0","1","0","0","0","0","0","0","1","0",68.43066047,7.550322581,0.014840389,2549,20.96892442,0.330487377,0.375787773,0.067900441,0.024348269,0.058489142,0.611536388,39.52
"549","1","0","0","1","0","0","0","0","0","0","1","0",60.99429603,7.089494484,0.013227683,2272,18.69023,0.294573292,0.334950891,0.060521695,0.021702341,0.052133123,0.545080688,50.98
"214","1","1","1","0","0","0","0","0","0","1","0","0",6.193659348,7.443790067,0.001343204,230.71,1.897897431,0.029912414,0.034012553,0.006145669,0.002203762,0.005293852,0.055350161,0.043
"612","4","0","1","1","0","0","0","0","0","0","1","0",207.99,7.944193548,0.013533398,2324.51,19.12219478,0.301381409,0.004286929,0.06192046,0.020558702,0.053338013,0.557678482,207.57
"3","4","0","0","1","0","0","0","0","0","0","1","0",156.57,7.549666667,0.072258953,12411.27,102.0992478,1.609167542,1.82973853,0.33061228,0.118553528,0.284787971,2.977616019,163.995
"444","3","0","0","0","0","0","0","0","0","1","1","0",56.1366,7.470967742,0.037235892,6395.674,52.6129481,0.829223038,0.942885873,0.170368412,0.061092033,0.146754604,1.534400698,181.443
"316","2","1","0","0","1","0","0","0","0","0","1","0",9.007740727,7.443790067,0.001953487,335.5328,2.760204756,0.043503082,0.049466114,0.008937946,0.003205038,0.007699108,0.080498437,26.416
"342","2","0","0","0","0","0","0","0","0","0","1","0",2.819794226,7.443790067,0.000611522,105.0356,0.864057888,0.013618258,0.015484933,0.002797946,0.001003309,0.002410138,0.02519933,1.012
"51","2","0","0","1","0","0","0","0","0","0","1","0",53.66531592,8.717419355,0.011638265,1999,16.44444092,0.259177821,0.294703711,0.053249502,0.019094621,0.045868888,0.479584637,21.84
"332","3","0","0","1","0","0","0","0","0","0","1","0",52.46664914,7.443790067,0.011378313,1954.3504,16.07713842,0.253388834,0.288121218,0.052060123,0.018668125,0.044844362,0.46887265,198.04
"583","4","0","0","0","0","0","0","0","0","0","1","0",498.3,7.443790067,0.03698389,6352.39,39.43,0.823611105,0.936504704,0.16921541,0.06067858,0.145761413,1.524016335,139.68
"438","3","0","0","0","0","0","0","0","0","1","1","0",36.9291,7.105,0.030955118,5316.882,43.73844519,0.689353623,0.783844349,0.141631475,0.050787318,0.122000733,1.275585255,144.386
"580","4","0","0","0","0","0","0","0","0","0","1","0",289.08,7.443790067,0.023653623,4062.77,74.7,0.526753315,0.598956175,0.108224352,0.038807931,0.093223983,0.974708393,128.48
"323","2","1","0","0","1","0","0","0","0","0","1","0",6.814021272,7.443790067,0.00147774,253.8181,2.087992371,0.032908465,0.037419278,0.006761224,0.002424493,0.005824089,0.060894078,38.3
"268","4","1","1","1","0","0","0","0","0","0","1","0",170.43805,7.443790067,0.03696248,6348.7125,52.22662713,0.823134304,0.935962547,0.169117448,0.060643452,0.14567703,1.523134058,223.1535
"573","4","0","0","0","0","0","0","0","0","0","1","0",82.08,7.443790067,0.012971513,2228,36.63,0.288868527,0.328464166,0.05934962,0.021282049,0.051123503,0.534524548,66.84
"264","4","1","1","1","0","0","0","0","0","0","1","0",204.3015436,7.443790067,0.044306372,7610.1068,62.60327748,0.986678789,1.121924318,0.202718558,0.0726924,0.174620879,1.825758034,190.172
"576","4","0","0","0","0","0","0","0","0","0","1","0",28.43,7.443790067,0.017430499,2993.88,9.4,0.388167732,0.44137446,0.079751185,0.028597801,0.068697322,0.718268561,93.58
"405","3","0","0","0","0","0","0","0","0","1","1","0",22.6044002,7.443790067,0.004902161,842,6.926572914,0.109168447,0.124132328,0.022429255,0.008042857,0.019320462,0.202006135,218.106
"207","4","1","0","0","0","0","0","0","0","0","1","0",45.78284908,7.443790067,0.009928814,1705.38296,14.02904919,0.221109275,0.251417052,0.045428111,0.016289966,0.039131576,0.409142305,111.102
"344","3","0","1","1","0","0","0","0","0","1","1","1",31.01856871,7.443790067,0.006726921,1155.4226,9.504891788,0.149804858,0.170338833,0.030778228,0.011036697,0.026512231,0.277200064,74.864
