"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HWsum"
"637","1","0","0","0","0","0","0","0","0","1","1","1",2.08,7.351785714,50,0.776402883,0.032820352,0.000490387,0.001216741,0.27,0.777
"153","3","0","0","0","0","1","1","0","0","0","0","0",843.973,8.057333333,7290.483,113.2070404,4.785524413,0.07150316,0.17741265,15.74,103.645
"439","1","0","0","0","0","1","0","0","0","0","1","0",114.15,7.449090909,579.03,8.991211227,0.380079372,0.005678976,0.014090595,0.35,189.36
"144","3","0","0","0","0","1","1","0","0","0","0","0",509.789,8.029032258,9375.219,145.5789412,6.153959813,0.091949708,0.228144342,38.126,58.9135
"18","2","0","0","0","0","0","0","1","0","0","0","0",173.08,7.641,12736.66,197.7755909,8.360433372,0.124917847,0.309944431,40.14137592,46.256
"5","1","0","0","0","0","0","0","0","0","0","1","0",5.37,7.187149194,248.95,3.865709955,0.163412534,0.002441637,0.006058155,3.76,0.581
"66","4","0","0","0","0","1","0","0","0","0","1","0",2661.324533,7.641,19949,309.7692223,13.09466417,0.195654601,0.485455484,62.87208014,41.212
"236","4","0","0","0","0","1","1","0","0","0","1","0",66.43948621,7.717349463,1082.61,16.8108305,0.710632833,0.010617957,0.026345128,3.411997728,87.066
"86","2","0","0","0","0","0","1","1","0","0","1","1",444.05,7.54,2375,36.87913694,1.558966735,0.023293382,0.057795217,7.48514664,0.1
"410","3","0","0","0","0","1","1","0","0","0","0","0",162.84,8.5,2537.55,39.40322272,1.665665701,0.02488763,0.061750843,1.05,11.688
"623","1","0","0","0","0","1","0","1","0","0","0","0",10.168,7.559333333,87.735,1.362354139,0.057589872,0.000860482,0.002135016,0.660379014,1.575
"526","2","0","0","0","0","1","1","1","0","0","1","0",104.76,7.504,1052,16.33551666,0.690540213,0.010317742,0.025600239,4.24,152.001
"179","2","0","0","0","0","1","1","1","0","0","1","1",30.681,7.641,401.99,6.242123899,0.263869069,0.003942613,0.009782358,1.266928041,1.351
"75","2","0","0","0","0","1","1","0","0","1","1","1",2.57,7.641,108.26,1.681067522,0.071062627,0.001061786,0.002634488,0.01337534,4.833
"602","2","0","0","0","0","1","1","1","0","0","0","0",1116.263,8.239677419,4352.575,67.58703557,2.8570609,0.042688923,0.105919164,9.609,20.614
"671","2","0","0","0","0","1","1","1","0","0","0","0",54.966888,8.214090909,525,8.152230272,0.344613699,0.005149063,0.012775785,0.389654,2.88
"248","3","0","0","0","0","1","0","1","0","0","0","0",17.721525,7.789333333,476,7.391355446,0.312449754,0.004668484,0.011583378,2.202810125,0.882
"173","4","0","0","0","0","0","0","1","0","0","0","0",4785.152,7.37516129,14729.135,228.7148576,9.668308002,0.144459523,0.358430967,121.111,77.156
"256","3","0","0","0","0","1","0","1","0","0","0","0",137.635004,6.836666667,2742,42.5779341,1.799868121,0.026892822,0.066726098,11.946743,1.945
"552","2","0","0","0","0","0","1","1","0","0","0","0",157.2,6.609333333,4984.69,77.40255374,3.27198564,0.048888542,0.121301574,15.70995183,7.015
"322","2","0","0","0","0","1","1","1","1","0","0","1",74.393,7.641,736.988,11.44399216,0.483764116,0.007228187,0.017934476,1.005,36.7034
